Topic,QuestionCategory,LocationDesc,Education,Income,Gender,% Adults W. Obesity,% Adults Exercise Weekly,% Adults Do not exercise,% Adults Eat Vegetable or Fruit Daily
Fruits and Vegetables - Behavior,Income,Ohio,,"$50,000 - $74,999",,,,,29.35
Fruits and Vegetables - Behavior,Income,Ohio,,"$75,000 or greater",,,,,26.38333333
Fruits and Vegetables - Behavior,Income,Ohio,,"Less than $15,000",,,,,44.8
Fruits and Vegetables - Behavior,Race/Ethnicity,Ohio,,,,,,,33.07251462
Fruits and Vegetables - Behavior,Total,Ohio,,,,,,,33.66666667
Fruits and Vegetables - Behavior,Education,Oklahoma,College graduate,,,,,,27.9
Fruits and Vegetables - Behavior,Education,Oklahoma,High school graduate,,,,,,43.5
Fruits and Vegetables - Behavior,Education,Oklahoma,Less than high school,,,,,,46.1
Fruits and Vegetables - Behavior,Education,Oklahoma,Some college or technical school,,,,,,35.88333333
Fruits and Vegetables - Behavior,Age (years),Oklahoma,,,,,,,38.36111111
Fruits and Vegetables - Behavior,Gender,Oklahoma,,,Female,,,,34.03333333
Fruits and Vegetables - Behavior,Gender,Oklahoma,,,Male,,,,42.23333333
Fruits and Vegetables - Behavior,Income,Oklahoma,,"$15,000 - $24,999",,,,,42.08333333
Fruits and Vegetables - Behavior,Income,Oklahoma,,"$25,000 - $34,999",,,,,38.93333333
Fruits and Vegetables - Behavior,Income,Oklahoma,,"$35,000 - $49,999",,,,,37.75
Fruits and Vegetables - Behavior,Income,Oklahoma,,"$50,000 - $74,999",,,,,33.43333333
Fruits and Vegetables - Behavior,Income,Oklahoma,,"$75,000 or greater",,,,,31.61666667
Fruits and Vegetables - Behavior,Income,Oklahoma,,"Less than $15,000",,,,,46.91666667
Fruits and Vegetables - Behavior,Race/Ethnicity,Oklahoma,,,,,,,38.40588235
Fruits and Vegetables - Behavior,Total,Oklahoma,,,,,,,38.05
Fruits and Vegetables - Behavior,Education,Oregon,College graduate,,,,,,17.51666667
Fruits and Vegetables - Behavior,Education,Oregon,High school graduate,,,,,,30.51666667
Fruits and Vegetables - Behavior,Education,Oregon,Less than high school,,,,,,33.56666667
Fruits and Vegetables - Behavior,Education,Oregon,Some college or technical school,,,,,,24.3
Fruits and Vegetables - Behavior,Age (years),Oregon,,,,,,,25.40277778
Fruits and Vegetables - Behavior,Gender,Oregon,,,Female,,,,21.11666667
Fruits and Vegetables - Behavior,Gender,Oregon,,,Male,,,,29.06666667
Fruits and Vegetables - Behavior,Income,Oregon,,"$15,000 - $24,999",,,,,29.51666667
Fruits and Vegetables - Behavior,Income,Oregon,,"$25,000 - $34,999",,,,,26.5
Fruits and Vegetables - Behavior,Income,Oregon,,"$35,000 - $49,999",,,,,21.83333333
Fruits and Vegetables - Behavior,Income,Oregon,,"$50,000 - $74,999",,,,,22.68333333
Fruits and Vegetables - Behavior,Income,Oregon,,"$75,000 or greater",,,,,18.71666667
Fruits and Vegetables - Behavior,Income,Oregon,,"Less than $15,000",,,,,35.7
Fruits and Vegetables - Behavior,Race/Ethnicity,Oregon,,,,,,,26.47774725
Fruits and Vegetables - Behavior,Total,Oregon,,,,,,,25
Fruits and Vegetables - Behavior,Education,Pennsylvania,College graduate,,,,,,21.75
Fruits and Vegetables - Behavior,Education,Pennsylvania,High school graduate,,,,,,34.4
Fruits and Vegetables - Behavior,Education,Pennsylvania,Less than high school,,,,,,43.15
Fruits and Vegetables - Behavior,Education,Pennsylvania,Some college or technical school,,,,,,29.88333333
Fruits and Vegetables - Behavior,Age (years),Pennsylvania,,,,,,,31.43055556
Fruits and Vegetables - Behavior,Gender,Pennsylvania,,,Female,,,,27.26666667
Fruits and Vegetables - Behavior,Gender,Pennsylvania,,,Male,,,,34.96666667
Fruits and Vegetables - Behavior,Income,Pennsylvania,,"$15,000 - $24,999",,,,,36.43333333
Fruits and Vegetables - Behavior,Income,Pennsylvania,,"$25,000 - $34,999",,,,,31.91666667
Fruits and Vegetables - Behavior,Income,Pennsylvania,,"$35,000 - $49,999",,,,,30.4
Fruits and Vegetables - Behavior,Income,Pennsylvania,,"$50,000 - $74,999",,,,,29.83333333
Fruits and Vegetables - Behavior,Income,Pennsylvania,,"$75,000 or greater",,,,,23.63333333
Fruits and Vegetables - Behavior,Income,Pennsylvania,,"Less than $15,000",,,,,41.65
Fruits and Vegetables - Behavior,Race/Ethnicity,Pennsylvania,,,,,,,31.98
Fruits and Vegetables - Behavior,Total,Pennsylvania,,,,,,,30.95
Fruits and Vegetables - Behavior,Education,Puerto Rico,College graduate,,,,,,33.65
Fruits and Vegetables - Behavior,Education,Puerto Rico,High school graduate,,,,,,41.55
Fruits and Vegetables - Behavior,Education,Puerto Rico,Less than high school,,,,,,44.4
Fruits and Vegetables - Behavior,Education,Puerto Rico,Some college or technical school,,,,,,39.35
Fruits and Vegetables - Behavior,Age (years),Puerto Rico,,,,,,,40.16666667
Fruits and Vegetables - Behavior,Gender,Puerto Rico,,,Female,,,,39.35
Fruits and Vegetables - Behavior,Gender,Puerto Rico,,,Male,,,,40.75
Fruits and Vegetables - Behavior,Income,Puerto Rico,,"$15,000 - $24,999",,,,,36.65
Fruits and Vegetables - Behavior,Income,Puerto Rico,,"$25,000 - $34,999",,,,,35.65
Fruits and Vegetables - Behavior,Income,Puerto Rico,,"$35,000 - $49,999",,,,,32
Fruits and Vegetables - Behavior,Income,Puerto Rico,,"$50,000 - $74,999",,,,,37
Fruits and Vegetables - Behavior,Income,Puerto Rico,,"$75,000 or greater",,,,,27.95
Fruits and Vegetables - Behavior,Income,Puerto Rico,,"Less than $15,000",,,,,42.95
Fruits and Vegetables - Behavior,Race/Ethnicity,Puerto Rico,,,,,,,39.95
Fruits and Vegetables - Behavior,Total,Puerto Rico,,,,,,,40.05
Fruits and Vegetables - Behavior,Education,Rhode Island,College graduate,,,,,,19.66666667
Fruits and Vegetables - Behavior,Education,Rhode Island,High school graduate,,,,,,32.85
Fruits and Vegetables - Behavior,Education,Rhode Island,Less than high school,,,,,,38.88333333
Fruits and Vegetables - Behavior,Education,Rhode Island,Some college or technical school,,,,,,28.16666667
Fruits and Vegetables - Behavior,Age (years),Rhode Island,,,,,,,28.96388889
Fruits and Vegetables - Behavior,Gender,Rhode Island,,,Female,,,,25.5
Fruits and Vegetables - Behavior,Gender,Rhode Island,,,Male,,,,31.95
Fruits and Vegetables - Behavior,Income,Rhode Island,,"$15,000 - $24,999",,,,,32.75
Fruits and Vegetables - Behavior,Income,Rhode Island,,"$25,000 - $34,999",,,,,30.61666667
Fruits and Vegetables - Behavior,Income,Rhode Island,,"$35,000 - $49,999",,,,,29.93333333
Fruits and Vegetables - Behavior,Income,Rhode Island,,"$50,000 - $74,999",,,,,26.65
Fruits and Vegetables - Behavior,Income,Rhode Island,,"$75,000 or greater",,,,,21.31666667
Fruits and Vegetables - Behavior,Income,Rhode Island,,"Less than $15,000",,,,,37.26666667
Fruits and Vegetables - Behavior,Race/Ethnicity,Rhode Island,,,,,,,31.41875
Fruits and Vegetables - Behavior,Total,Rhode Island,,,,,,,28.56666667
Fruits and Vegetables - Behavior,Education,South Carolina,College graduate,,,,,,25.63333333
Fruits and Vegetables - Behavior,Education,South Carolina,High school graduate,,,,,,41.15
Fruits and Vegetables - Behavior,Education,South Carolina,Less than high school,,,,,,47.26666667
Fruits and Vegetables - Behavior,Education,South Carolina,Some college or technical school,,,,,,33.15
Fruits and Vegetables - Behavior,Age (years),South Carolina,,,,,,,36.45
Fruits and Vegetables - Behavior,Gender,South Carolina,,,Female,,,,32.43333333
Fruits and Vegetables - Behavior,Gender,South Carolina,,,Male,,,,40
Fruits and Vegetables - Behavior,Income,South Carolina,,"$15,000 - $24,999",,,,,40.26666667
Fruits and Vegetables - Behavior,Income,South Carolina,,"$25,000 - $34,999",,,,,36.96666667
Fruits and Vegetables - Behavior,Income,South Carolina,,"$35,000 - $49,999",,,,,36.28333333
Fruits and Vegetables - Behavior,Income,South Carolina,,"$50,000 - $74,999",,,,,31.58333333
Fruits and Vegetables - Behavior,Income,South Carolina,,"$75,000 or greater",,,,,27.33333333
Fruits and Vegetables - Behavior,Income,South Carolina,,"Less than $15,000",,,,,45.03333333
Fruits and Vegetables - Behavior,Race/Ethnicity,South Carolina,,,,,,,34.78245614
Fruits and Vegetables - Behavior,Total,South Carolina,,,,,,,36.03333333
Fruits and Vegetables - Behavior,Education,South Dakota,College graduate,,,,,,25.55
Fruits and Vegetables - Behavior,Education,South Dakota,High school graduate,,,,,,36.91666667
Fruits and Vegetables - Behavior,Education,South Dakota,Less than high school,,,,,,40.61666667
Fruits and Vegetables - Behavior,Education,South Dakota,Some college or technical school,,,,,,32.55
Fruits and Vegetables - Behavior,Age (years),South Dakota,,,,,,,33.63888889
Fruits and Vegetables - Behavior,Gender,South Dakota,,,Female,,,,28.75
Fruits and Vegetables - Behavior,Gender,South Dakota,,,Male,,,,37.45
Fruits and Vegetables - Behavior,Income,South Dakota,,"$15,000 - $24,999",,,,,36.13333333
Fruits and Vegetables - Behavior,Income,South Dakota,,"$25,000 - $34,999",,,,,38.38333333
Fruits and Vegetables - Behavior,Income,South Dakota,,"$35,000 - $49,999",,,,,31.03333333
Fruits and Vegetables - Behavior,Income,South Dakota,,"$50,000 - $74,999",,,,,32.63333333
Fruits and Vegetables - Behavior,Income,South Dakota,,"$75,000 or greater",,,,,28.21666667
Fruits and Vegetables - Behavior,Income,South Dakota,,"Less than $15,000",,,,,42.48333333
Fruits and Vegetables - Behavior,Race/Ethnicity,South Dakota,,,,,,,34.2
Fruits and Vegetables - Behavior,Total,South Dakota,,,,,,,33.05
Fruits and Vegetables - Behavior,Education,Tennessee,College graduate,,,,,,26.46666667
Fruits and Vegetables - Behavior,Education,Tennessee,High school graduate,,,,,,37.86666667
Fruits and Vegetables - Behavior,Education,Tennessee,Less than high school,,,,,,43.83333333
Fruits and Vegetables - Behavior,Education,Tennessee,Some college or technical school,,,,,,32.93333333
Fruits and Vegetables - Behavior,Age (years),Tennessee,,,,,,,35.20555556
Fruits and Vegetables - Behavior,Gender,Tennessee,,,Female,,,,31.53333333
Fruits and Vegetables - Behavior,Gender,Tennessee,,,Male,,,,38.28333333
Fruits and Vegetables - Behavior,Income,Tennessee,,"$15,000 - $24,999",,,,,37.4
Fruits and Vegetables - Behavior,Income,Tennessee,,"$25,000 - $34,999",,,,,35.75
Fruits and Vegetables - Behavior,Income,Tennessee,,"$35,000 - $49,999",,,,,32.18333333
Fruits and Vegetables - Behavior,Income,Tennessee,,"$50,000 - $74,999",,,,,29.61666667
Fruits and Vegetables - Behavior,Income,Tennessee,,"$75,000 or greater",,,,,28.35
Fruits and Vegetables - Behavior,Income,Tennessee,,"Less than $15,000",,,,,45.4
Fruits and Vegetables - Behavior,Race/Ethnicity,Tennessee,,,,,,,34.37227273
Fruits and Vegetables - Behavior,Total,Tennessee,,,,,,,34.76666667
Fruits and Vegetables - Behavior,Education,Texas,College graduate,,,,,,24.23333333
Fruits and Vegetables - Behavior,Education,Texas,High school graduate,,,,,,36.3
Fruits and Vegetables - Behavior,Education,Texas,Less than high school,,,,,,34.31666667
Fruits and Vegetables - Behavior,Education,Texas,Some college or technical school,,,,,,31.06666667
Fruits and Vegetables - Behavior,Age (years),Texas,,,,,,,31.55
Fruits and Vegetables - Behavior,Gender,Texas,,,Female,,,,28.01666667
Fruits and Vegetables - Behavior,Gender,Texas,,,Male,,,,34.96666667
Fruits and Vegetables - Behavior,Income,Texas,,"$15,000 - $24,999",,,,,34.73333333
Fruits and Vegetables - Behavior,Income,Texas,,"$25,000 - $34,999",,,,,31.91666667
Fruits and Vegetables - Behavior,Income,Texas,,"$35,000 - $49,999",,,,,30.15
Fruits and Vegetables - Behavior,Income,Texas,,"$50,000 - $74,999",,,,,29.66666667
Fruits and Vegetables - Behavior,Income,Texas,,"$75,000 or greater",,,,,26.5
Fruits and Vegetables - Behavior,Income,Texas,,"Less than $15,000",,,,,37.9
Fruits and Vegetables - Behavior,Race/Ethnicity,Texas,,,,,,,32.08611111
Fruits and Vegetables - Behavior,Total,Texas,,,,,,,31.38333333
Fruits and Vegetables - Behavior,Education,Utah,College graduate,,,,,,19.43333333
Fruits and Vegetables - Behavior,Education,Utah,High school graduate,,,,,,35.35
Fruits and Vegetables - Behavior,Education,Utah,Less than high school,,,,,,36.68333333
Fruits and Vegetables - Behavior,Education,Utah,Some college or technical school,,,,,,27.46666667
Fruits and Vegetables - Behavior,Age (years),Utah,,,,,,,27.85277778
Fruits and Vegetables - Behavior,Gender,Utah,,,Female,,,,23.65
Fruits and Vegetables - Behavior,Gender,Utah,,,Male,,,,32.78333333
Fruits and Vegetables - Behavior,Income,Utah,,"$15,000 - $24,999",,,,,32.81666667
Fruits and Vegetables - Behavior,Income,Utah,,"$25,000 - $34,999",,,,,30.51666667
Fruits and Vegetables - Behavior,Income,Utah,,"$35,000 - $49,999",,,,,28.65
Fruits and Vegetables - Behavior,Income,Utah,,"$50,000 - $74,999",,,,,26.68333333
Fruits and Vegetables - Behavior,Income,Utah,,"$75,000 or greater",,,,,21.98333333
Fruits and Vegetables - Behavior,Income,Utah,,"Less than $15,000",,,,,36.46666667
Fruits and Vegetables - Behavior,Race/Ethnicity,Utah,,,,,,,29.40588235
Fruits and Vegetables - Behavior,Total,Utah,,,,,,,28.2
Fruits and Vegetables - Behavior,Education,Vermont,College graduate,,,,,,15.58333333
Fruits and Vegetables - Behavior,Education,Vermont,High school graduate,,,,,,31.63333333
Fruits and Vegetables - Behavior,Education,Vermont,Less than high school,,,,,,38.11666667
Fruits and Vegetables - Behavior,Education,Vermont,Some college or technical school,,,,,,24.66666667
Fruits and Vegetables - Behavior,Age (years),Vermont,,,,,,,25.43333333
Fruits and Vegetables - Behavior,Gender,Vermont,,,Female,,,,20.71666667
Fruits and Vegetables - Behavior,Gender,Vermont,,,Male,,,,29.7
Fruits and Vegetables - Behavior,Income,Vermont,,"$15,000 - $24,999",,,,,31.36666667
Fruits and Vegetables - Behavior,Income,Vermont,,"$25,000 - $34,999",,,,,26.36666667
Fruits and Vegetables - Behavior,Income,Vermont,,"$35,000 - $49,999",,,,,24.66666667
Fruits and Vegetables - Behavior,Income,Vermont,,"$50,000 - $74,999",,,,,22.28333333
Fruits and Vegetables - Behavior,Income,Vermont,,"$75,000 or greater",,,,,18.18333333
Fruits and Vegetables - Behavior,Income,Vermont,,"Less than $15,000",,,,,37.95
Fruits and Vegetables - Behavior,Race/Ethnicity,Vermont,,,,,,,29.68181818
Fruits and Vegetables - Behavior,Total,Vermont,,,,,,,25.05
Fruits and Vegetables - Behavior,Education,Virginia,College graduate,,,,,,22.01666667
Fruits and Vegetables - Behavior,Education,Virginia,High school graduate,,,,,,36.15
Fruits and Vegetables - Behavior,Education,Virginia,Less than high school,,,,,,39.43333333
Fruits and Vegetables - Behavior,Education,Virginia,Some college or technical school,,,,,,30.2
Fruits and Vegetables - Behavior,Age (years),Virginia,,,,,,,30.41944444
Fruits and Vegetables - Behavior,Gender,Virginia,,,Female,,,,26.35
Fruits and Vegetables - Behavior,Gender,Virginia,,,Male,,,,34.33333333
Fruits and Vegetables - Behavior,Income,Virginia,,"$15,000 - $24,999",,,,,37.73333333
Fruits and Vegetables - Behavior,Income,Virginia,,"$25,000 - $34,999",,,,,32.8
Fruits and Vegetables - Behavior,Income,Virginia,,"$35,000 - $49,999",,,,,31.56666667
Fruits and Vegetables - Behavior,Income,Virginia,,"$50,000 - $74,999",,,,,26.88333333
Fruits and Vegetables - Behavior,Income,Virginia,,"$75,000 or greater",,,,,24.13333333
Fruits and Vegetables - Behavior,Income,Virginia,,"Less than $15,000",,,,,41.93333333
Fruits and Vegetables - Behavior,Race/Ethnicity,Virginia,,,,,,,29.66944444
Fruits and Vegetables - Behavior,Total,Virginia,,,,,,,30.2
Fruits and Vegetables - Behavior,Education,Washington,College graduate,,,,,,20.1
Fruits and Vegetables - Behavior,Education,Washington,High school graduate,,,,,,31.88333333
Fruits and Vegetables - Behavior,Education,Washington,Less than high school,,,,,,34.71666667
Fruits and Vegetables - Behavior,Education,Washington,Some college or technical school,,,,,,26.91666667
Fruits and Vegetables - Behavior,Age (years),Washington,,,,,,,27.36666667
Fruits and Vegetables - Behavior,Gender,Washington,,,Female,,,,22.46666667
Fruits and Vegetables - Behavior,Gender,Washington,,,Male,,,,31.66666667
Fruits and Vegetables - Behavior,Income,Washington,,"$15,000 - $24,999",,,,,31.98333333
Fruits and Vegetables - Behavior,Income,Washington,,"$25,000 - $34,999",,,,,28.76666667
Fruits and Vegetables - Behavior,Income,Washington,,"$35,000 - $49,999",,,,,26.71666667
Fruits and Vegetables - Behavior,Income,Washington,,"$50,000 - $74,999",,,,,24.11666667
Fruits and Vegetables - Behavior,Income,Washington,,"$75,000 or greater",,,,,21.85
Fruits and Vegetables - Behavior,Income,Washington,,"Less than $15,000",,,,,36.1
Fruits and Vegetables - Behavior,Race/Ethnicity,Washington,,,,,,,29.28181818
Fruits and Vegetables - Behavior,Total,Washington,,,,,,,27
Fruits and Vegetables - Behavior,Education,West Virginia,College graduate,,,,,,25.41666667
Fruits and Vegetables - Behavior,Education,West Virginia,High school graduate,,,,,,39.15
Fruits and Vegetables - Behavior,Education,West Virginia,Less than high school,,,,,,48.73333333
Fruits and Vegetables - Behavior,Education,West Virginia,Some college or technical school,,,,,,32.75
Fruits and Vegetables - Behavior,Age (years),West Virginia,,,,,,,37.04444444
Fruits and Vegetables - Behavior,Gender,West Virginia,,,Female,,,,33.16666667
Fruits and Vegetables - Behavior,Gender,West Virginia,,,Male,,,,40.36666667
Fruits and Vegetables - Behavior,Income,West Virginia,,"$15,000 - $24,999",,,,,40.45
Fruits and Vegetables - Behavior,Income,West Virginia,,"$25,000 - $34,999",,,,,35.6
Fruits and Vegetables - Behavior,Income,West Virginia,,"$35,000 - $49,999",,,,,35.18333333
Fruits and Vegetables - Behavior,Income,West Virginia,,"$50,000 - $74,999",,,,,32.16666667
Fruits and Vegetables - Behavior,Income,West Virginia,,"$75,000 or greater",,,,,28.25
Fruits and Vegetables - Behavior,Income,West Virginia,,"Less than $15,000",,,,,47.03333333
Fruits and Vegetables - Behavior,Race/Ethnicity,West Virginia,,,,,,,36.24090909
Fruits and Vegetables - Behavior,Total,West Virginia,,,,,,,36.66666667
Fruits and Vegetables - Behavior,Education,Wisconsin,College graduate,,,,,,21.4
Fruits and Vegetables - Behavior,Education,Wisconsin,High school graduate,,,,,,36.21666667
Fruits and Vegetables - Behavior,Education,Wisconsin,Less than high school,,,,,,40.81666667
Fruits and Vegetables - Behavior,Education,Wisconsin,Some college or technical school,,,,,,30.43333333
Fruits and Vegetables - Behavior,Age (years),Wisconsin,,,,,,,31.70555556
Fruits and Vegetables - Behavior,Gender,Wisconsin,,,Female,,,,26.2
Fruits and Vegetables - Behavior,Gender,Wisconsin,,,Male,,,,36.26666667
Fruits and Vegetables - Behavior,Income,Wisconsin,,"$15,000 - $24,999",,,,,36.63333333
Fruits and Vegetables - Behavior,Income,Wisconsin,,"$25,000 - $34,999",,,,,33.7
Fruits and Vegetables - Behavior,Income,Wisconsin,,"$35,000 - $49,999",,,,,29.33333333
Fruits and Vegetables - Behavior,Income,Wisconsin,,"$50,000 - $74,999",,,,,28.36666667
Fruits and Vegetables - Behavior,Income,Wisconsin,,"$75,000 or greater",,,,,26.2
Fruits and Vegetables - Behavior,Income,Wisconsin,,"Less than $15,000",,,,,39.71666667
Fruits and Vegetables - Behavior,Race/Ethnicity,Wisconsin,,,,,,,31.78333333
Fruits and Vegetables - Behavior,Total,Wisconsin,,,,,,,31.18333333
Fruits and Vegetables - Behavior,Education,Wyoming,College graduate,,,,,,22.05
Fruits and Vegetables - Behavior,Education,Wyoming,High school graduate,,,,,,35.88333333
Fruits and Vegetables - Behavior,Education,Wyoming,Less than high school,,,,,,41.28333333
Fruits and Vegetables - Behavior,Education,Wyoming,Some college or technical school,,,,,,29.58333333
Fruits and Vegetables - Behavior,Age (years),Wyoming,,,,,,,31.18611111
Fruits and Vegetables - Behavior,Gender,Wyoming,,,Female,,,,25.7
Fruits and Vegetables - Behavior,Gender,Wyoming,,,Male,,,,35.85
Fruits and Vegetables - Behavior,Income,Wyoming,,"$15,000 - $24,999",,,,,35.33333333
Fruits and Vegetables - Behavior,Income,Wyoming,,"$25,000 - $34,999",,,,,32.41666667
Fruits and Vegetables - Behavior,Income,Wyoming,,"$35,000 - $49,999",,,,,30.95
Fruits and Vegetables - Behavior,Income,Wyoming,,"$50,000 - $74,999",,,,,29.35
Fruits and Vegetables - Behavior,Income,Wyoming,,"$75,000 or greater",,,,,26.4
Fruits and Vegetables - Behavior,Income,Wyoming,,"Less than $15,000",,,,,34.93333333
Fruits and Vegetables - Behavior,Race/Ethnicity,Wyoming,,,,,,,29.63333333
Fruits and Vegetables - Behavior,Total,Wyoming,,,,,,,30.81666667
Obesity / Weight Status,Education,Alabama,College graduate,,,28.25,,,
Obesity / Weight Status,Education,Alabama,High school graduate,,,34.6,,,
Obesity / Weight Status,Education,Alabama,Less than high school,,,35.98333333,,,
Obesity / Weight Status,Education,Alabama,Some college or technical school,,,35.1,,,
Obesity / Weight Status,Age (years),Alabama,,,,33.35833333,,,
Obesity / Weight Status,Gender,Alabama,,,Female,34.06666667,,,
Obesity / Weight Status,Gender,Alabama,,,Male,33.36666667,,,
Obesity / Weight Status,Income,Alabama,,"$15,000 - $24,999",,37.81666667,,,
Obesity / Weight Status,Income,Alabama,,"$25,000 - $34,999",,34.56666667,,,
Obesity / Weight Status,Income,Alabama,,"$35,000 - $49,999",,34.56666667,,,
Obesity / Weight Status,Income,Alabama,,"$50,000 - $74,999",,34.3,,,
Obesity / Weight Status,Income,Alabama,,"$75,000 or greater",,30.46666667,,,
Obesity / Weight Status,Income,Alabama,,"Less than $15,000",,38.55,,,
Obesity / Weight Status,Race/Ethnicity,Alabama,,,,33.40666667,,,
Obesity / Weight Status,Total,Alabama,,,,33.7,,,
Obesity / Weight Status,Education,Alaska,College graduate,,,23.33333333,,,
Obesity / Weight Status,Education,Alaska,High school graduate,,,29.43333333,,,
Obesity / Weight Status,Education,Alaska,Less than high school,,,29.35,,,
Obesity / Weight Status,Education,Alaska,Some college or technical school,,,31.53333333,,,
Obesity / Weight Status,Age (years),Alaska,,,,28.425,,,
Obesity / Weight Status,Gender,Alaska,,,Female,28.43333333,,,
Obesity / Weight Status,Gender,Alaska,,,Male,29,,,
Obesity / Weight Status,Income,Alaska,,"$15,000 - $24,999",,30.66666667,,,
Obesity / Weight Status,Income,Alaska,,"$25,000 - $34,999",,30.18333333,,,
Obesity / Weight Status,Income,Alaska,,"$35,000 - $49,999",,30.21666667,,,
Obesity / Weight Status,Income,Alaska,,"$50,000 - $74,999",,29.81666667,,,
Obesity / Weight Status,Income,Alaska,,"$75,000 or greater",,28.45,,,
Obesity / Weight Status,Income,Alaska,,"Less than $15,000",,31.91666667,,,
Obesity / Weight Status,Race/Ethnicity,Alaska,,,,29.17058824,,,
Obesity / Weight Status,Total,Alaska,,,,28.73333333,,,
Obesity / Weight Status,Education,Arizona,College graduate,,,20.61666667,,,
Obesity / Weight Status,Education,Arizona,High school graduate,,,27.98333333,,,
Obesity / Weight Status,Education,Arizona,Less than high school,,,36.06666667,,,
Obesity / Weight Status,Education,Arizona,Some college or technical school,,,28.11666667,,,
Obesity / Weight Status,Age (years),Arizona,,,,27.23888889,,,
Obesity / Weight Status,Gender,Arizona,,,Female,27.03333333,,,
Obesity / Weight Status,Gender,Arizona,,,Male,27.7,,,
Obesity / Weight Status,Income,Arizona,,"$15,000 - $24,999",,33.23333333,,,
Obesity / Weight Status,Income,Arizona,,"$25,000 - $34,999",,26.8,,,
Obesity / Weight Status,Income,Arizona,,"$35,000 - $49,999",,26.65,,,
Obesity / Weight Status,Income,Arizona,,"$50,000 - $74,999",,27.33333333,,,
Obesity / Weight Status,Income,Arizona,,"$75,000 or greater",,23.48333333,,,
Obesity / Weight Status,Income,Arizona,,"Less than $15,000",,33.13333333,,,
Obesity / Weight Status,Race/Ethnicity,Arizona,,,,28.6175,,,
Obesity / Weight Status,Total,Arizona,,,,27.36666667,,,
Obesity / Weight Status,Education,Arkansas,College graduate,,,29.25,,,
Obesity / Weight Status,Education,Arkansas,High school graduate,,,35.51666667,,,
Obesity / Weight Status,Education,Arkansas,Less than high school,,,36.23333333,,,
Obesity / Weight Status,Education,Arkansas,Some college or technical school,,,35.05,,,
Obesity / Weight Status,Age (years),Arkansas,,,,34.325,,,
Obesity / Weight Status,Gender,Arkansas,,,Female,34.95,,,
Obesity / Weight Status,Gender,Arkansas,,,Male,33.81666667,,,
Obesity / Weight Status,Income,Arkansas,,"$15,000 - $24,999",,34.46666667,,,
Obesity / Weight Status,Income,Arkansas,,"$25,000 - $34,999",,34.55,,,
Obesity / Weight Status,Income,Arkansas,,"$35,000 - $49,999",,35.3,,,
Obesity / Weight Status,Income,Arkansas,,"$50,000 - $74,999",,34.33333333,,,
Obesity / Weight Status,Income,Arkansas,,"$75,000 or greater",,30.83333333,,,
Obesity / Weight Status,Income,Arkansas,,"Less than $15,000",,40.55,,,
Obesity / Weight Status,Race/Ethnicity,Arkansas,,,,35.54333333,,,
Obesity / Weight Status,Total,Arkansas,,,,34.35,,,
Obesity / Weight Status,Education,California,College graduate,,,15.5,,,
Obesity / Weight Status,Education,California,High school graduate,,,25.96666667,,,
Obesity / Weight Status,Education,California,Less than high school,,,34.35,,,
Obesity / Weight Status,Education,California,Some college or technical school,,,25.8,,,
Obesity / Weight Status,Age (years),California,,,,24.08055556,,,
Obesity / Weight Status,Gender,California,,,Female,24.28333333,,,
Obesity / Weight Status,Gender,California,,,Male,24.65,,,
Obesity / Weight Status,Income,California,,"$15,000 - $24,999",,28.81666667,,,
Obesity / Weight Status,Income,California,,"$25,000 - $34,999",,27.61666667,,,
Obesity / Weight Status,Income,California,,"$35,000 - $49,999",,24.93333333,,,
Obesity / Weight Status,Income,California,,"$50,000 - $74,999",,25.33333333,,,
Obesity / Weight Status,Income,California,,"$75,000 or greater",,19.78333333,,,
Obesity / Weight Status,Income,California,,"Less than $15,000",,30.03333333,,,
Obesity / Weight Status,Race/Ethnicity,California,,,,26.14634146,,,
Obesity / Weight Status,Total,California,,,,24.46666667,,,
Obesity / Weight Status,Education,Colorado,College graduate,,,15.81666667,,,
Obesity / Weight Status,Education,Colorado,High school graduate,,,23.33333333,,,
Obesity / Weight Status,Education,Colorado,Less than high school,,,27.13333333,,,
Obesity / Weight Status,Education,Colorado,Some college or technical school,,,22.95,,,
Obesity / Weight Status,Age (years),Colorado,,,,20.60833333,,,
Obesity / Weight Status,Gender,Colorado,,,Female,20.83333333,,,
Obesity / Weight Status,Gender,Colorado,,,Male,21.25,,,
Obesity / Weight Status,Income,Colorado,,"$15,000 - $24,999",,23.76666667,,,
Obesity / Weight Status,Income,Colorado,,"$25,000 - $34,999",,23.48333333,,,
Obesity / Weight Status,Income,Colorado,,"$35,000 - $49,999",,22,,,
Obesity / Weight Status,Income,Colorado,,"$50,000 - $74,999",,21.65,,,
Obesity / Weight Status,Income,Colorado,,"$75,000 or greater",,18.73333333,,,
Obesity / Weight Status,Income,Colorado,,"Less than $15,000",,25.68333333,,,
Obesity / Weight Status,Race/Ethnicity,Colorado,,,,22.84146341,,,
Obesity / Weight Status,Total,Colorado,,,,21.05,,,
Obesity / Weight Status,Education,Connecticut,College graduate,,,18.56666667,,,
Obesity / Weight Status,Education,Connecticut,High school graduate,,,29.1,,,
Obesity / Weight Status,Education,Connecticut,Less than high school,,,32.2,,,
Obesity / Weight Status,Education,Connecticut,Some college or technical school,,,27.28333333,,,
Obesity / Weight Status,Age (years),Connecticut,,,,24.81388889,,,
